B
AN_Nicobars
AN_North and Middle Andaman
AN_South Andaman
AP_Foreign Evacuees
AP_Anantapur
AP_Chittoor
AP_East Godavari
AP_Guntur
AP_Krishna
AP_Kurnool
AP_Other State
AP_Prakasam
AP_S.P.S. Nellore
AP_Srikakulam
AP_Visakhapatnam
AP_Vizianagaram
AP_West Godavari
AP_Y.S.R. Kadapa
AR_Anjaw
AR_Changlang
AR_East Kameng
AR_East Siang
AR_Kamle
AR_Kra Daadi
AR_Kurung Kumey
AR_Lepa Rada
AR_Lohit
AR_Longding
AR_Lower Dibang Valley
AR_Lower Siang
AR_Lower Subansiri
AR_Namsai
AR_Pakke Kessang
AR_Papum Pare
AR_Shi Yomi
AR_Siang
AR_Tawang
AR_Tirap
AR_Upper Dibang Valley
AR_Upper Siang
AR_Upper Subansiri
AR_West Kameng
AR_West Siang
AS_Airport Quarantine
AS_Baksa
AS_Barpeta
AS_Biswanath
AS_Bongaigaon
AS_Cachar
AS_Charaideo
AS_Chirang
AS_Darrang
AS_Dhemaji
AS_Dhubri
AS_Dibrugarh
AS_Dima Hasao
AS_Goalpara
AS_Golaghat
AS_Hailakandi
AS_Hojai
AS_Jorhat
AS_Kamrup
AS_Kamrup Metropolitan
AS_Karbi Anglong
AS_Karimganj
AS_Kokrajhar
AS_Lakhimpur
AS_Majuli
AS_Morigaon
AS_Nagaon
AS_Nalbari
AS_Other State
AS_Sivasagar
AS_Sonitpur
AS_South Salmara Mankachar
AS_Tinsukia
AS_Udalguri
AS_West Karbi Anglong
BR_Araria
BR_Arwal
BR_Aurangabad
BR_Banka
BR_Begusarai
BR_Bhagalpur
BR_Bhojpur
BR_Buxar
BR_Darbhanga
BR_East Champaran
BR_Gaya
BR_Gopalganj
BR_Jamui
BR_Jehanabad
BR_Kaimur
BR_Katihar
BR_Khagaria
BR_Kishanganj
BR_Lakhisarai
BR_Madhepura
BR_Madhubani
BR_Munger
BR_Muzaffarpur
BR_Nalanda
BR_Nawada
BR_Patna
BR_Purnia
BR_Rohtas
BR_Saharsa
BR_Samastipur
BR_Saran
BR_Sheikhpura
BR_Sheohar
BR_Sitamarhi
BR_Siwan
BR_Supaul
BR_Vaishali
BR_West Champaran
CH_Chandigarh
CT_Other State
CT_Balod
CT_Baloda Bazar
CT_Balrampur
CT_Bametara
CT_Bastar
CT_Bijapur
CT_Bilaspur
CT_Dakshin Bastar Dantewada
CT_Dhamtari
CT_Durg
